parcel_id,parcel_seq_num,parcel_order_number,unique_idprc,shipment_id,weight,status
P001,1,PO1001,UIDPRC1001,S001,1.02,Created
P002,2,PO1002,UIDPRC1002,S001,1.56,Created
P003,3,PO1003,UIDPRC1003,S001,2.09,Created
P004,1,PO1004,UIDPRC1004,S002,2.02,Created
P005,1,PO1005,UIDPRC1005,S003,1.58,Created
P006,2,PO1006,UIDPRC1006,S003,4.28,Created
P007,3,PO1007,UIDPRC1007,S003,4.92,Created
P008,1,PO1008,UIDPRC1008,S004,1.69,Created
P009,1,PO1009,UIDPRC1009,S005,0.92,Created
P010,1,PO1010,UIDPRC1010,S006,4.52,Created
P011,2,PO1011,UIDPRC1011,S006,2.56,Created
P012,3,PO1012,UIDPRC1012,S006,4.57,Created
P013,1,PO1013,UIDPRC1013,S007,3.91,Created
P014,2,PO1014,UIDPRC1014,S007,0.52,Created
P015,1,PO1015,UIDPRC1015,S008,0.94,Created
P016,2,PO1016,UIDPRC1016,S008,0.58,Created
P017,3,PO1017,UIDPRC1017,S008,1.5,Created
P018,1,PO1018,UIDPRC1018,S009,3.09,Created
P019,1,PO1019,UIDPRC1019,S010,4.97,Created
P020,2,PO1020,UIDPRC1020,S010,1.09,Created
P021,3,PO1021,UIDPRC1021,S010,0.57,Created
P022,1,PO1022,UIDPRC1022,S011,3.33,Created
P023,2,PO1023,UIDPRC1023,S011,1.16,Created
P024,3,PO1024,UIDPRC1024,S011,4.71,Created
P025,1,PO1025,UIDPRC1025,S012,3.39,Created
P026,2,PO1026,UIDPRC1026,S012,0.74,Created
P027,3,PO1027,UIDPRC1027,S012,2.55,Created
P028,1,PO1028,UIDPRC1028,S013,4.15,Created
P029,1,PO1029,UIDPRC1029,S014,3.16,Created
P030,2,PO1030,UIDPRC1030,S014,1.56,Created
P031,3,PO1031,UIDPRC1031,S014,2.47,Created
P032,1,PO1032,UIDPRC1032,S015,3.96,Created
P033,2,PO1033,UIDPRC1033,S015,1.05,Created
P034,3,PO1034,UIDPRC1034,S015,3.09,Created
P035,1,PO1035,UIDPRC1035,S016,4.17,Created
P036,1,PO1036,UIDPRC1036,S017,3.02,Created
P037,1,PO1037,UIDPRC1037,S018,1.05,Created
P038,2,PO1038,UIDPRC1038,S018,0.56,Created
P039,3,PO1039,UIDPRC1039,S018,3.16,Created
P040,1,PO1040,UIDPRC1040,S019,0.57,Created
P041,1,PO1041,UIDPRC1041,S020,1.63,Created
P042,2,PO1042,UIDPRC1042,S020,4.87,Created
P043,3,PO1043,UIDPRC1043,S020,2.02,Created
P044,1,PO1044,UIDPRC1044,S021,4.11,Created
P045,1,PO1045,UIDPRC1045,S022,1.73,Created
P046,2,PO1046,UIDPRC1046,S022,1.16,Created
P047,1,PO1047,UIDPRC1047,S023,1.84,Created
P048,1,PO1048,UIDPRC1048,S024,1.23,Created
P049,2,PO1049,UIDPRC1049,S024,2.58,Created
P050,3,PO1050,UIDPRC1050,S024,4.59,Created
P051,1,PO1051,UIDPRC1051,S025,5.0,Created
P052,2,PO1052,UIDPRC1052,S025,2.16,Created
P053,1,PO1053,UIDPRC1053,S026,3.94,Created
P054,1,PO1054,UIDPRC1054,S027,3.3,Created
P055,2,PO1055,UIDPRC1055,S027,1.75,Created
P056,1,PO1056,UIDPRC1056,S028,4.55,Created
P057,1,PO1057,UIDPRC1057,S029,3.5,Created
P058,2,PO1058,UIDPRC1058,S029,2.53,Created
P059,1,PO1059,UIDPRC1059,S030,2.3,Created
P060,2,PO1060,UIDPRC1060,S030,3.81,Created
P061,1,PO1061,UIDPRC1061,S031,1.28,Created
P062,2,PO1062,UIDPRC1062,S031,3.78,Created
P063,1,PO1063,UIDPRC1063,S032,2.9,Created
P064,2,PO1064,UIDPRC1064,S032,0.84,Created
P065,3,PO1065,UIDPRC1065,S032,3.91,Created
P066,1,PO1066,UIDPRC1066,S033,0.59,Created
P067,2,PO1067,UIDPRC1067,S033,4.33,Created
P068,3,PO1068,UIDPRC1068,S033,1.38,Created
